Код,Наименование,Категория,Махсулот,Размер,Ед изм,Модел булим
7071,PJ-1058-v1791,Д/р-пижама,Куин мини горох пижама д/р,46-56,шт,Bahor - Yoz
7080,PJ-1062-v1814,Д/р-пижама,Коричневый пуговица пижама д/р,50-60,шт,Bahor - Yoz
7187,KJ-13003-v1830,Д/р-пижама,Чёрный пуговица пижама д/р,44-52,шт,Bahor - Yoz
7206,PJ-1057-v1993,Д/р-пижама,Хаки пуговица пижама д/р,56-66,шт,Bahor - Yoz
7212,Pj-1057-v1992,Д/р-пижама,Хаки пуговица пижама д/р,56-66,шт,Bahor - Yoz
7227,Pj-1057-v2004,Д/р-пижама,Молочный пуговица пижама д/р,56-66,шт,Bahor - Yoz
7241,PJ-1057-v1750,Д/р-пижама,Голубой пуговица пижама д/р,56-66,шт,Bahor - Yoz
7250,PJ-1072-v2063,Д/р-пижама,Мини горох пижама д/р,48-58,шт,Bahor - Yoz
7259,PJ-1057-v2001,Д/р-пижама,ЖЁлтый пуговица пижама д/р,56-66,шт,Kuz - Qish
7268,Pj-1071-v2012,Д/р-пижама,Мини горох Матлюба опа пижама д/р,56-64,шт,Kuz - Qish
7281,pj-1074-v2106,Д/р-пижама,Горчичный пуговица пижама д/р,54-64,шт,Bahor - Yoz
7293,PJ-1080-v2213,Д/р-пижама,Фенди пуговица пижама д/р,46-56,шт,Kuz - Qish
7295,Pj-1057-v2084,Д/р-пижама,Горчичный пуговица пжама д/р,56-66,шт,Kuz - Qish
